commuting_zone_geoid,commuting_zone_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score,strategic_index,strategic_index_percentile
579,"Kotzebue, AK",39,0.3843077644357869,70.41,-4.318094486529025,50.34
580,"Petersburg, AK",89,0.24366526253219314,64.97,-9.89574187004283,12.07
581,"Metlakatla, AK",69,0.2857004509250845,66.67,-8.28942951434645,25.68
582,"Sitka, AK",119,1.1030886100929174,86.22,-8.114140541945645,27.21
583,"Skagway, AK",72,0.8651480394932783,81.97,-7.475974398443215,30.95
584,"Wrangell, AK",61,0.5779939869393218,75.51,-6.359388564827766,36.39
13,"Gallup, NM",132,-0.6258143849344884,27.89,-9.04591815992604,18.88
14,"Tucson, AZ",216,1.2173436110723816,87.59,-8.024956450394498,28.23
15,"Prescott--Prescott Valley, AZ",227,0.5633541754644013,74.66,-5.98257440869905,39.12
16,"Phoenix--Mesa--Scottsdale, AZ",316,2.144411756431545,96.26,-20.90499221798894,2.38
17,"Safford, AZ",130,-0.9677110653359848,15.99,-8.56263056711972,23.81
18,"Los Angeles--Long Beach--Anaheim, CA",355,2.7387006150965316,98.81,-37.91727350164503,0.34
19,"Yuma, AZ-CA",152,-0.3100632491768445,42.86,-5.571479686799053,42.52
20,"Helena-West Helena, AR",144,-1.072136113032062,13.1,-5.189176092368336,45.92
21,"Pine Bluff, AR",169,-1.0076769697462282,15.14,-2.2822588268250623,62.07
22,"Mountain Home, AR",172,-0.09930367243339923,52.38,-7.897164859541535,29.08
23,"Fayetteville--Springdale--Rogers, AR-MO",238,0.7846616802737908,80.78,-2.948018371418847,57.82
24,"Harrison, AR",174,-0.5110540206659335,34.01,-3.474497853569699,55.78
25,"El Dorado, AR",153,-0.7316264540468105,23.64,-5.924984306026166,39.63
26,"Hot Springs, AR",209,-0.44488902569278604,37.07,1.311874234470236,78.4
27,"Jonesboro, AR",205,-0.43684822800084955,37.41,1.5956081582437225,79.08
28,"Heber Springs, AR",157,-0.39233935782959917,38.78,-6.4280479867675195,35.88
29,"Magnolia, AR",113,-0.9991000878562254,15.48,-10.610256168641557,8.33
30,"Little Rock, AR",256,0.5762951958521823,75.34,1.1498476525690629,77.21
31,"Fort Smith, AR-OK",231,-0.09937633324667856,52.21,3.421440976141068,85.03
32,"Memphis, TN-MS-AR",270,1.453957347961953,91.84,-4.561575240659168,49.83
33,"Batesville, AR",160,-0.5632608949721988,30.78,-5.84211147273661,40.65
34,"Searcy, AR",172,-0.7578455502759804,22.79,-2.601816171947416,60.2
35,"Russellville, AR",173,-0.6108737958658146,28.57,-3.661206723217469,55.1
36,"Texarkana, TX-AR",207,-0.4614292880113993,36.22,3.04248491624702,83.84
37,"Blytheville, AR",124,-0.7622427563306389,22.62,-7.815784124649414,29.59
38,"De Queen, AR",150,-0.8353872084800783,20.24,-6.974784467552562,33.84
39,"San Francisco--Oakland, CA",294,3.283970185271193,99.66,-36.676103181886674,0.51
40,"Reno, NV-CA",297,1.1061358649816992,86.39,-2.0026549332428867,64.12
41,"Stockton, CA",243,0.12929045915942644,60.37,6.653088883916218,91.5
42,"Redding, CA",241,0.153505259634671,61.56,3.3014523325994234,84.86
43,"Sacramento, CA",240,1.3553465317263829,90.31,-5.537657450690952,43.2
44,"Crescent, CA",139,0.010007036024104568,55.95,-10.304249292080488,10.2
45,"Fresno, CA",212,0.30471231583817954,67.69,1.6055871535760198,79.25
46,"Eureka, CA",181,0.21658190846542852,63.44,-6.944605681383982,34.18
47,"Bakersfield, CA",179,-0.26014952629866156,44.9,0.04500348455946385,74.49
48,"Ukiah, CA",183,0.21704204592922674,63.95,-5.966897340092463,39.46
49,"Susanville, CA",138,-0.14671846692739995,50.51,-8.711675314849948,21.26
50,"Klamath Falls--Altamont, OR",178,-0.46182296523980804,36.05,-4.061757973504651,52.21
51,"San Jose, CA",169,3.0750683771783223,99.49,-2.913553047407599,57.99
52,"San Diego, CA",282,2.8598204739810984,99.15,-25.488925479860068,1.7
53,"Santa Barbara, CA",241,1.7294027210530762,94.39,-8.332439613770072,25
54,"Denver--Aurora, CO",329,2.7170802205913382,98.64,-35.42764117389265,0.68
55,"Alamosa, CO",160,-0.48980722190382786,34.86,-5.134800152969406,46.09
56,"Farmington, NM",233,-0.1609592894889987,49.15,5.416396229163724,89.29
57,"Lamar, CO",110,-1.2412967229031153,7.99,-8.633422101384268,22.62
58,"Salida, CO",168,0.6567162262919854,77.89,-8.045069420885547,28.06
59,"Burlington, CO",111,-1.1117993154749914,11.56,-7.93278680120498,28.91
60,"Colorado Springs, CO",223,1.0388939413420493,84.35,-7.7243690172317585,29.93
61,"Grand Junction, CO",290,0.3613580295572245,70.07,9.821952895998473,96.43
62,"Edwards--Avon, CO",191,1.3095380184635341,89.8,-8.229832805740942,26.19
63,"Laramie, WY",144,0.14494972631451875,61.05,-9.24361965916109,17.01
64,"Gunnison, CO",165,0.9802806358559516,83.5,-9.177898967465095,17.52
65,"Trinidad, CO",122,-0.5927970677168279,29.25,-9.152464452766585,17.86
66,"Fort Collins, CO",288,0.43865693066486805,71.77,11.298603471901783,96.94
67,"Sterling, CO",116,-1.7616679401498396,1.19,-7.3943520936591485,31.97
68,"Steamboat Springs, CO",205,0.49083483185120735,73.13,-3.651319760554281,55.27
69,"Sidney, NE",104,-1.4242251080486477,4.59,-10.307691744891331,10.03
70,"Hartford, CT",299,2.240918114812845,96.77,-16.63615174222161,3.57
71,"Dover, DE",255,0.5556451519758802,74.49,0.32617593377251936,75.51
72,"Philadelphia, PA",273,2.650284301691406,98.13,-16.686778494219528,3.4
73,"Washington, DC",156,3.554512464474996,100,-1.5970046338436708,67.35
74,"Gainesville, FL",165,0.8318704630545676,81.29,-8.474049691516528,24.83
75,"Jacksonville, FL",307,1.6544838612803727,93.71,-11.0620493061344,6.63
76,"Panama City--Panama City Beach, FL",226,0.6042266357072251,77.04,-6.478589487429854,35.71
77,"Port St. Lucie, FL",298,2.004233696399947,95.41,-17.56384627864678,3.06
78,"Miami, FL",355,2.6669116652338114,98.47,-40.4866534884291,0.17
79,"Bradenton--Sarasota--Venice, FL",280,1.4724131734487031,92.01,-9.072306449412482,18.71
80,"Orlando, FL",304,1.9958932844593336,95.24,-18.709993076555243,2.89
81,"Cape Coral, FL",263,1.2619159553325483,88.27,-8.117952260758049,27.04
82,"Lake, FL",189,-0.660925961236727,26.53,-1.1825057017389278,68.54
83,"Pensacola, FL-AL",233,1.2948900240682832,89.29,-10.55573987478541,8.5
84,"Daytona Beach--Palm Coast--Port Orange, FL",261,1.2679307034530471,88.44,-9.00433030352731,19.22
85,"Eastpoint, FL",117,0.8760882688018403,82.14,-9.599664744325835,14.63
86,"Tallahassee, FL",197,0.8084129344963678,81.12,-3.305242809652268,56.12
87,"Lakeland, FL",275,0.4431492312956208,71.94,6.5499519848622905,90.99
88,"Tampa--St. Petersburg, FL",335,2.1059696125895853,95.92,-22.601071011058032,2.04
89,"Douglas, GA",173,-0.5177602284964198,33.67,-1.4944254252152167,67.86
90,"Albany, GA",192,-0.281873041629984,44.22,-1.1525631533414165,68.88
91,"Milledgeville, GA",186,-0.3475551506080234,39.8,-1.930981913704279,65.14
92,"Gainesville, GA",356,1.3889660385098328,91.16,-3.2543050437748473,56.8
93,"Dalton, GA",219,0.2961210910036073,67.18,0.15703827365967765,75
94,"Tifton, GA",168,-0.5646633718593405,30.61,-2.6509515746979027,59.69
95,"Valdosta, GA",187,-0.32269833632848427,41.16,-2.7170436922217203,59.01
96,"Warner Robins, GA",172,0.17933381366034856,62.59,-6.633314223534326,35.03
97,"Brunswick--St. Simons, GA",200,0.26168566084510725,65.82,-4.724859142123836,49.15
98,"Savannah, GA",235,0.36451960902854263,70.24,1.454559729986978,78.74
99,"Augusta-Richmond County, GA",204,0.24423299879396376,65.14,-2.0881476712852542,63.27
100,"Atlanta, GA",317,2.805590939356615,98.98,-30.11603169320504,1.19
101,"Chattanooga, TN-GA",295,0.659003978449646,78.06,4.5437468827034895,87.59
102,"Woodstock, GA",271,0.942273367882717,82.65,-3.149255691780062,57.31
103,"Athens-Clarke County, GA",186,0.5549924616005621,74.32,-6.369884826418316,36.22
104,"Dublin, GA",175,-0.67174346913452,26.19,-2.8955039790260666,58.33
105,"Americus, GA",154,-0.5685296865401513,30.27,-5.0022621753021905,47.45
106,"Waynesville, NC",160,0.28144748831914695,66.33,-10.668717259821463,7.99
107,"Andrews, NC",173,-0.020181614970890754,55.44,-7.1106409596210325,33.16
586,"Hilo, HI",202,1.2682611644140385,88.61,-8.992276607922738,19.56
587,"Honolulu, HI",208,2.1611826418532076,96.43,-9.437336618579739,15.48
588,"Kapaa, HI",160,1.6024108607423115,92.86,-8.632111445777618,22.79
585,"Kahului--Wailuku, HI",203,1.759123369430963,94.56,-11.695015534109654,5.1
108,"Boise, ID",321,1.0594694757161642,84.86,2.9751332608884224,83.5
109,"McCall, ID",152,0.5735476323623212,74.83,-8.760670557378214,20.92
110,"Pocatello, ID",185,-0.13887829470241267,50.68,-2.4004881585181295,61.39
111,"Evanston, WY",188,-0.5440814177808654,32.65,0.4266160040873185,75.68
112,"Coeur d'Alene, ID",280,0.7501308136108971,79.93,-0.28910087893621833,73.47
113,"Twin Falls, ID",230,0.03893891882866702,57.48,2.0881758743231518,81.12
114,"Spokane, WA",287,0.45138060904796184,72.62,7.087783172190719,93.03
115,"Idaho Falls, ID",268,0.64861539936656,77.38,1.5276977046253042,78.91
116,"Burley, ID",144,-1.0867959046408309,12.59,-5.445498721703311,43.54
117,"Lewiston, ID-WA",183,-0.3107842215367593,42.69,-3.6842420135636376,54.76
118,"Salmon, ID",148,-0.056063357714665994,53.91,-8.008555184642917,28.4
119,"Logan, UT",215,0.2883068647417862,67.01,-0.6596156865748474,72.11
120,"Jackson, WY",186,1.273064499322145,88.95,-7.2835743359097,32.31
121,"Quincy, IL",204,-0.3389932087313207,40.31,2.090722410241677,81.29
122,"Marion--Herrin, IL",180,-0.5616970310311798,30.95,-2.4874239898414605,60.88
123,"Granite City, IL",224,-0.1742589664904873,47.96,4.822939168398876,88.44
124,"Rockford, IL",261,0.26540143706670105,65.99,7.643635984420248,93.88
125,"Peoria, IL",247,0.2166277811861094,63.61,6.527274618789858,90.82
126,"Springfield, IL",152,0.06273131357110674,58.16,-5.0423709876861755,47.11
127,"Champaign, IL",169,0.5743434108106493,75.17,-3.1955155183693007,56.97
128,"Decatur, IL",208,-0.31496391716553745,42.01,2.757537741005251,83.16
129,"Terre Haute, IN",220,-0.48201877452232356,35.2,6.697841057083539,91.67
130,"Olney, IL",149,-1.134678747038847,11.05,-4.6618830697750795,49.49
131,"Centralia, IL",175,-0.8244833134201859,20.75,-0.8283227539340534,71.09
132,"Chicago, IL",392,2.414084498064434,97.62,-31.541676984818725,1.02
133,"Vincennes, IN",147,-1.2189684556659859,9.01,-5.724230322711565,41.33
134,"Harrisburg, IL",128,-0.5916096543825546,29.59,-6.769399427822931,34.69
135,"Burlington, IA-IL",200,-0.629711698891841,27.55,3.592115062414325,85.71
136,"Davenport, IA-IL",241,-0.04028104374829902,54.76,6.876832531384755,92.35
137,"Kankakee, IL",180,-0.2424595860317731,45.58,-1.986969202438064,64.63
138,"Dubuque, IA-IL",263,0.0703942323050247,58.33,12.499573013570679,97.79
139,"Paducah, KY-IL",242,-0.17164847854805884,48.13,8.070398722620599,94.22
140,"St. Louis, MO",298,1.4981974405700127,92.18,-4.432295567619193,50
141,"Lafayette, IN",217,-0.11831660979789989,51.53,3.2397801476910826,84.52
142,"Evansville, IN",267,-0.14803977494385864,50.34,13.194481329078263,98.13
143,"Fort Wayne, IN",336,0.4098842159438704,71.09,19.81045702018467,99.66
144,"Columbus, IN",165,-0.05363433579450701,54.08,-7.2714931202337825,32.48
145,"Muncie, IN",217,-0.16240632249896242,48.81,1.9414266777066582,80.61
146,"Indianapolis, IN",306,1.3602131793329204,90.48,-3.109910626851917,57.48
147,"Logansport, IN",156,-0.7796967498837495,21.43,-6.033508525866275,38.61
148,"Louisville/Jefferson County, KY-IN",308,1.261569586702415,88.1,-0.08042758605043074,73.81
149,"Greendale--Lawrenceburg--Hidden Valley, IN-OH",187,-0.4018901479122217,38.44,-3.867707206741481,53.57
150,"Greensburg, IN",171,-0.723928807799822,24.32,-2.5943837039450472,60.37
151,"South Bend, IN-MI",298,0.32061426628407497,68.2,14.132697526454168,98.81
152,"Richmond, IN-OH",182,-0.34081223792349585,39.97,-4.65977943487279,49.66
153,"Bloomington, IN",173,0.24795946294356275,65.48,-7.581153702068172,30.78
154,"Hammond, IN",293,0.23813596815788388,64.8,12.785433940325817,97.96
155,"Des Moines, IA",264,1.1907014369081748,87.41,-0.9624370146581401,70.24
156,"Creston, IA",137,-1.2723633080491012,7.48,-5.600616847136013,42.35
157,"Platteville, WI",168,-1.0819493952066153,12.93,-0.7669248338191654,71.77
158,"Ottumwa, IA",198,-0.6882625676911065,25.85,4.555594534809357,87.76
159,"Denison, IA",147,-0.9554777784217989,16.16,-3.3002428262014254,56.29
160,"Cedar Rapids, IA",221,0.34852786880560743,69.39,1.7660872489037305,79.59
161,"Waterloo, IA",208,-0.5491954312974188,32.48,4.34429929380345,87.24
162,"Ames, IA",157,-0.3251320558389216,40.82,-3.7544423162322786,54.25
163,"Storm Lake, IA",131,-1.4215963240455916,4.76,-6.312606398136916,36.73
164,"Fort Dodge, IA",167,-0.8583007176004306,19.39,-1.0687947879531405,69.73
165,"Mason, IA",192,-0.7217296758718846,24.66,3.527664530204711,85.2
166,"Decorah, IA",137,-0.7519368371706224,23.13,-6.960782880646249,34.01
167,"Osceola, IA",121,-1.229844743654905,8.5,-8.605600589951711,23.3
168,"Spirit Lake, IA",177,-0.7277101132200192,23.81,-0.013121012533637927,74.32
169,"Iowa Falls, IA",115,-1.2941579726671761,7.14,-7.96240665206526,28.57
170,"Omaha, NE-IA",271,1.082989280973571,85.37,0.18300305350587437,75.17
171,"Sioux Center, IA",149,-0.810847107126516,21.09,-2.363209517950163,61.73
172,"Sioux, IA-NE-SD",197,-0.5286490168639563,33.16,2.6851466134692106,82.82
173,"Parsons, KS",138,-1.0628890982249641,13.61,-5.729835964123576,41.16
174,"Kansas, MO-KS",320,1.5004227411061797,92.35,-5.069065909991157,46.94
175,"St. Joseph, MO-KS",193,-0.4171525990627255,37.93,0.5326382130061679,76.02
176,"Pratt, KS",90,-1.8616231596766015,0.68,-10.156010179140216,11.39
177,"Great Bend, KS",137,-0.9268459273154899,17.18,-5.889463928806178,40.48
178,"Joplin, MO",239,-0.21973038559094746,47.11,7.947693313758016,94.05
179,"Falls, NE",117,-1.4933124726176892,3.91,-8.314021300840134,25.51
180,"Wichita, KS",256,0.3329585888835661,68.37,6.802002486418819,92.01
181,"Emporia, KS",126,-1.1569822362237012,9.86,-9.073845874949113,18.54
182,"Bartlesville, OK",164,-0.8706439147535958,18.71,-2.2401925683281636,62.59
183,"Atwood, KS",77,-1.5475822860713995,2.89,-9.60547745615613,14.46
184,"Dodge, KS",121,-0.9263580780081276,17.35,-7.429893146702262,31.29
185,"Manhattan, KS",142,-0.36979955619836025,39.29,-6.526221039255165,35.37
186,"Concordia, KS",130,-1.144336819469233,10.54,-6.489706869053761,35.54
187,"Norton, KS",98,-1.489583696309849,4.08,-9.045320892989741,19.05
188,"Topeka, KS",192,0.7085005972764379,79.25,-3.9901724869614643,52.89
189,"Hays, KS",161,-0.9540201359607611,16.5,-2.2689991159767047,62.24
190,"Salina, KS",158,-0.43132967979776804,37.59,-5.663029042026609,41.84
191,"Garden, KS",132,-1.416462161211536,4.93,-5.733276712582536,40.99
192,"Colby, KS",104,-1.5570036658329864,2.55,-9.36367207760918,16.33
193,"Hutchinson, KS",201,-0.4990270327020157,34.18,3.8326781947830453,86.22
194,"Liberal, KS",101,-1.6225030295120058,2.04,-9.415396492339914,15.65
195,"Beloit, KS",94,-1.7832692295528687,0.85,-10.835225497102194,7.48
196,"Scott City, KS",97,-1.678852356729294,1.36,-8.535421817442284,24.15
197,"Hugoton, KS",69,-2.122792885516757,0.17,-11.290009354222034,5.95
198,"Goodland, KS",108,-1.1493310063596387,10.2,-10.26331390493291,10.37
199,"Bardstown, KY",182,-0.6510623763427484,26.87,-1.5203021670673447,67.69
200,"Bowling Green, KY",254,-0.0791510392088281,53.06,8.387482791644228,94.9
201,"Lexington-Fayette, KY",236,1.0768705509612917,85.2,-3.82327662575289,53.74
202,"Glasgow, KY",181,-0.48026041337845754,35.37,-2.0027810527339236,63.95
203,"Mount Sterling, KY",163,-0.5920078047510169,29.42,-5.897797691154523,40.31
204,"Middlesborough, KY-TN",135,-0.5225723919326479,33.33,-8.051808121793513,27.72
205,"Cincinnati, OH-KY",334,1.4149923967679443,91.33,-1.7107443618323028,66.5
206,"Huntington, WV-KY-OH",223,-0.11391264738836672,51.87,2.461512981343104,82.31
207,"Danville, KY",182,-0.3112444146554867,42.35,-3.257853939031895,56.63
208,"Maysville, KY-OH",159,-0.5608735934408067,31.29,-5.356203889820588,44.22
209,"Hazard, KY",121,-0.5944252460308729,29.08,-9.487705935744325,14.97
210,"Elizabethtown--Radcliff, KY",171,-0.30601553117107494,43.37,-5.923161102282395,39.8
211,"Henderson, KY",200,-0.7571807949780447,22.96,4.363878216474167,87.41
212,"Clarksville, TN-KY",172,0.17428188575098527,62.41,-5.3502635980778015,44.39
213,"Richmond, KY",194,-0.2197508829773102,46.94,-2.051861529413,63.61
214,"Somerset, KY",196,-0.32276528862732495,40.99,-0.9383957855768774,70.58
215,"Owensboro, KY",189,-0.3108131121867601,42.52,-2.3054123813088725,61.9
216,"Pikeville, KY",151,-0.5605100535801077,31.46,-6.120956144264123,37.93
217,"Harlan, KY",86,-0.6240902038197172,28.06,-9.69818630948202,13.44
218,"Lafayette, LA",271,0.10071029057636734,59.18,11.565010070077237,97.11
219,"Lake Charles, LA",239,-0.15006351959222025,50.17,8.188488963971755,94.73
220,"New Orleans, LA",311,1.268447981962635,88.78,0.5551702851983191,76.36
221,"Houma, LA",183,-0.16431960696446934,48.3,-2.1528943481814657,62.93
222,"Alexandria, LA",188,-0.46698222150373425,35.88,-0.8206329454889115,71.43
223,"Monroe, LA",225,-0.15549076921459548,49.49,4.153144944773306,86.9
224,"Shreveport, LA",240,-0.12879072240007663,51.02,7.149040102482522,93.2
225,"Natchez, MS-LA",174,-0.7276732167619954,23.98,-1.5384766204402067,67.52
226,"Baton Rouge, LA",238,0.422475804502242,71.43,1.8016988409640773,79.93
227,"Tallulah, LA",134,-1.1276238885674457,11.22,-6.1277024375943014,37.59
228,"Portland, ME",283,1.0869969522455476,85.54,-4.175253513418585,51.7
229,"Presque Isle, ME",146,-0.6468080479255394,27.04,-8.539831854060164,23.98
230,"Bangor, ME",230,0.41654381651655925,71.26,-1.9991242824531088,64.46
231,"Cumberland, MD-WV-PA",196,-0.23523203988355063,46.09,-1.7158881837138287,66.33
232,"Baltimore, MD",238,2.317226297894646,96.94,-10.82266014809751,7.65
233,"Germantown, MD",232,2.3641544828587335,97.45,-11.81508845661933,4.76
234,"Boston, MA-NH",288,2.9838119569520494,99.32,-27.872506459586756,1.36
235,"Pittsfield, MA",210,1.1749153155309573,87.07,-7.235658897847152,32.82
236,"Providence, RI-MA",299,1.5006074894300714,92.52,-6.008182310065024,38.78
237,"Vineyard Haven--Edgartown--Oak Bluffs, MA",163,1.3799047765565615,90.82,-9.69479056888165,13.61
238,"Springfield, MA-CT",250,1.133641104505251,86.73,-2.70535367403433,59.18
239,"Nantucket, MA",146,1.7104129852396832,94.05,-9.182189635003368,17.35
240,"Alpena, MI",186,-0.05674399310568854,53.74,-4.900369616564058,47.62
241,"Marquette, MI",207,0.018428046383542524,56.46,-2.37158264426438,61.56
242,"Grand Rapids, MI",340,0.8890554483084039,82.31,9.939025648984279,96.6
243,"Traverse City--Garfield, MI",271,0.5908114539453152,76.19,1.8509586831708937,80.1
244,"Saginaw, MI",260,0.0889887450205831,58.84,7.031952515120107,92.69
245,"Houghton--Hancock, MI",141,0.11624423674449798,59.69,-9.649524445073745,13.78
246,"Kalamazoo, MI",245,0.5128284659613802,73.64,1.228667812581883,77.72
247,"Petoskey, MI",210,0.7834957583885996,80.61,-5.41793038063158,43.71
248,"Sault Ste. Marie, MI",139,0.07073545985257143,58.5,-9.626527872888987,14.12
249,"Lansing, MI",216,0.7912801214429925,80.95,-3.280426646701702,56.46
250,"Houghton Lake, MI",183,-0.39334646070247,38.61,-4.338293791063315,50.17
251,"Marinette--Menominee, WI-MI",196,-0.4477104979677017,36.73,-0.9488616575040538,70.41
252,"Detroit, MI",305,1.3062458701264783,89.63,-1.462527670725881,68.37
253,"Ironwood, MI-WI",141,-0.3218354493931752,41.5,-9.808846142123622,12.59
254,"Jackson, MI",224,-0.03058021912481694,55.27,3.6070759610078573,85.88
255,"Cadillac, MI",186,-0.4600327904674892,36.39,-1.6299132209265332,67.01
256,"Ludington, MI",161,-0.0484147417724406,54.59,-8.580884309413108,23.47
257,"Brainerd, MN",220,-0.24027791208880694,45.92,2.1385340912496145,81.63
258,"Minneapolis, MN",321,2.0319209344031517,95.75,-15.296575677050766,3.74
259,"Fargo, ND-MN",249,0.3181967063420953,68.03,5.331201337892357,89.12
260,"St. Cloud, MN",267,-0.03649338926074579,55.1,12.130525290268213,97.45
261,"Milbank, SD",149,-1.192362100412988,9.35,-4.75273846359747,48.47
262,"Mankato, MN",241,0.05343051634714268,57.99,7.222661635729693,93.71
263,"Duluth, MN-WI",219,0.15398942982846187,61.73,-1.7371088739671852,66.16
264,"Willmar, MN",185,-1.002761240464291,15.31,2.959548833425241,83.33
265,"Grand Marais, MN",107,0.7281915466983,79.59,-9.2526499549235,16.84
266,"Worthington, MN",134,-1.302273294785707,6.8,-6.246710910294097,37.24
267,"Rochester, MN",176,0.12283179002141918,60.2,-6.071473831642903,38.27
268,"Alexandria, MN",215,-0.6072360033277462,28.91,7.196682885591617,93.54
269,"La Crosse, WI-MN",204,-0.0909785116358458,52.55,-0.8227395798857656,71.26
270,"Grafton, ND",112,-1.3828549486331403,5.1,-8.748356170148096,21.09
271,"International Falls, MN",98,-0.24105583155306154,45.75,-11.833886295026307,4.59
272,"Roseau, MN",103,-0.6534815349635974,26.7,-11.013431598398304,6.8
273,"Otsego, MN",242,0.018906398187807382,56.63,6.9790956456821265,92.52
274,"Grand Forks, ND-MN",177,-0.3384601302356481,40.48,-1.4681671938404688,68.2
275,"Sioux Falls, SD",238,0.33998103111377664,68.71,3.9189770250062224,86.39
276,"Eau Claire, WI",256,0.17125662150744167,62.07,7.178498800385373,93.37
277,"Tupelo, MS",230,-0.21297017986262498,47.28,5.252652241942425,88.95
278,"McComb, MS",174,-1.0280614388787868,14.46,-1.9590465381092736,64.8
279,"Jackson, MS",235,0.3413206781173173,68.88,1.7289780403948904,79.42
280,"Greenville, MS",155,-0.7795517849505946,21.6,-4.0661384673439604,52.04
281,"Greenwood, MS",151,-0.829688239556717,20.41,-5.988573468922521,38.95
282,"Starkville, MS",186,-0.40478638557704444,38.27,-1.778089376225183,65.48
283,"Oxford, MS",171,-0.25470627518019123,45.07,-4.779370633276043,48.3
284,"Hattiesburg, MS",182,-0.9361080848360461,16.84,-0.7649263977023875,71.94
285,"Gulfport--Biloxi, MS",179,0.15513004576302375,61.9,-7.764004487474091,29.76
286,"Kirksville, MO",141,-1.1183493478708864,11.39,-6.069147098300572,38.44
287,"Nebraska, NE",112,-1.5613660001876981,2.38,-9.464798192222721,15.14
288,"Columbia, MO",208,0.07911027855170426,58.67,0.13395504040232895,74.83
289,"Springfield, MO",281,0.3416794080152329,69.05,8.132612532744249,94.39
290,"Sedalia, MO",183,-0.8065002742783367,21.26,1.3279967857098087,78.57
291,"Cape Girardeau, MO-IL",226,-0.5564547094123282,31.97,9.45240407969545,95.92
292,"Poplar Bluff, MO",163,-0.7140787925923945,25,-6.124630064389775,37.76
293,"Village of Four Seasons, MO",202,0.11584529395495996,59.52,-4.108458061999689,51.87
294,"Chillicothe, MO",160,-0.9888530156407208,15.82,-2.413046169379351,61.22
295,"Nevada, MO",146,-0.9252899543757456,17.52,-6.296200930378096,36.9
296,"Trenton, MO",144,-1.1421871427167922,10.88,-5.4174059969102,43.88
297,"Fort Leonard Wood--St. Robert--Waynesville, MO",166,-0.49250654109290076,34.69,-6.425921331024154,36.05
298,"West Plains, MO",180,-0.8791265022429786,18.37,-0.49832890509814043,72.79
299,"Maryville, MO",126,-0.9526503377417563,16.67,-8.642005315750792,22.45
300,"Farmington, MO",189,-0.5648780693040073,30.44,-1.468466201656265,68.03
301,"Moberly, MO",153,-1.0356665312983322,14.29,-3.349630381314436,55.95
302,"Dillon, MT",119,-0.30959698010772246,43.03,-9.387657232032279,15.99
303,"Sheridan, WY",211,0.05267199650648139,57.82,3.5548981407504265,85.37
304,"Great Falls, MT",189,-0.46780860761023296,35.71,-0.8130863839747602,71.6
305,"Bozeman, MT",281,1.09003345507821,85.71,-3.6265167519349113,55.44
306,"Billings, MT",269,0.006495604358151276,55.78,11.737383992592191,97.28
307,"Baker, MT",106,-0.9034974238811494,18.2,-10.060697620491256,11.56
308,"Miles, MT",139,-1.0102997851324198,14.97,-6.210261369428515,37.41
309,"Plentywood, MT",102,-0.7643971821348828,22.28,-9.102999913070779,18.37
310,"Missoula, MT",282,0.40577658362169056,70.92,8.180057005264135,94.56
311,"Lewistown, MT",142,-0.8750863057197312,18.54,-7.4276065206630495,31.63
312,"Kalispell, MT",269,0.6751973733892839,78.57,0.8728475839341981,76.87
